dataset,task_MTS_gen,task_RMTS_gen,task_SD_gen,task_SOSD_gen,task_sym_MTS_gen,task_sym_SD_gen,task_sym_classification_gen
irregular_decagons_color,78.95,50.025,69.67999999999999,49.964999999999996,89.32,52.925,89.67500000000001
irregular_hexagons,92.85,50.05500000000001,96.735,50.195,95.345,55.38999999999999,95.08
normal,99.555,50.01,98.09,49.980000000000004,99.97500000000001,99.54499999999999,99.775
normal_small_radius,99.49,49.835,97.89,50.025,99.98,99.495,99.695
rigid_decagons_color,51.345,50.05,58.64,49.835,57.335,50.0,50.0
rigid_hexagons,65.275,50.12,75.1,49.585,77.605,50.0,80.42
rigid_rectangles,94.72500000000001,49.85,91.595,49.985,82.845,50.065000000000005,88.71
smooth_high_fourier,99.325,50.76500000000001,97.465,50.519999999999996,99.96000000000001,99.19,99.7
smooth_low_fourier,99.11,50.18,97.435,50.125,96.49,54.16,83.395
smooth_mid_fourier_color,84.475,50.005,70.58,50.160000000000004,94.76,53.26499999999999,91.59
symm_color_big,65.955,50.025,67.19000000000001,49.504999999999995,72.435,50.449999999999996,88.52499999999999
symm_short,59.12500000000001,50.13999999999999,68.34,49.7,77.19,53.87,77.315
